REWARDS COMPUTED TO BLOCK: 18010891
address, credit_account_miner, early_community_member, early_liquidity_provider, early_credit_account_user, cider_participants, early_gear_lps, pool ddai, pool dusdc, pool dweth, pool dwbtc, pool dwsteth, pool dfrax, cm dai, cm usdc, cm weth, cm wbtc, cm wsteth, cm frax, total, claimed, to pay
0xedc2fdcc98b72e6e0406e795e485f1665ec8cfc6, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x8b5905d3939ce9fd8ca9d1418cf29c744bcae026, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x6cf51fdef74d02296017a1129086ee9c3477dc01, 100000, 30000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130000, 130000, 0
0xe15aa7f7de1f1bb51aed5d7c28bdcb59987f020a, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xb0b91fef5e4af34f727797079dcda5ccac817a4b, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x7ff8eb786b62d9b1754cc5d9e8817486953da2e1, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xcc123b0dc18e4dc147a9ca83ce0f59ebb54ac983, 100000, 100000, 0, 0, 1437, 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201740, 200000, 1740
0x04f2ce3cdbdd7089cccde4c37c3fe195ec0efbd5, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x75b9b236801b273003beb57f823b434ae49f1be8, 100000, 0, 0, 0, 2874, 1005, 433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104312, 100000, 4312
0x586634c272dfa3894ee9b99836541dee35660f34, 100000, 0, 2059, 1046, 0, 0, 6, 1617, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 104787, 103709, 1078
0x76918841298c0eecf0fe9409cdad3000320666ed, 100000, 0, 0, 0, 5749, 4028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109777, 109777, 0
0x7cfab03f7cbbe6069475b736d121c42810134562, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xf64d3cced5c37da6dc737d3b19d254a3a668df4e, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xdca821e335fd379432ac8ba0608052412ca99c6a, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xc64bd5763db00fe121bafd9372f9b3632ab1bb77, 100000, 0, 0, 0, 12898, 1199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114097, 112898, 1199
0x543d74cf340458b1f2a848b052b0db4698f95584, 100000, 0, 0, 0, 5749, 4028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109777, 100000, 9777
0x3a331aeaca46790817403340f909c10f77140104, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x935d2fd458fdf41b6f7b62471f593797866a3ce6, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xdcd7d160815a1c256ddc73b3faa89391114d8249, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x168000031cddb74f1b28a9085b2931b097171aa6, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x58b61d71a801beffe49ed1a8e01a908be965ca1b, 100000, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100005, 100000, 5
